# X_606 Y_606 MAG_dp_606 ERR_dp_606 CHI_606 SHARP_606 STMAG_606 RA_606 DEC_606 X_814 Y_814 MAG_dp_814 ERR_dp_814 CHI_814 SHARP_814 STMAG_814 RA_814 DEC_814 ERR_606 ERR_814 sgFlag_606 sgFlag_814 sgXFlag
1247.252 268.199 15.824 0.0405 1.405 0.098 26.5122 162.3425 51.0878 1249.337 265.15 15.772 0.0279 0.926 0.126 26.5501 162.3425 51.0878 0.0238 0.0241 1 1 1.0
4054.059 269.758 16.243 0.084 2.491 1.098 26.9312 162.3779 51.072 4055.979 266.59 16.688 0.0868 1.853 0.796 27.4661 162.3779 51.072 0.0306 0.0409 0 0 0.0
4024.612 280.898 17.041 0.075 1.222 0.553 27.7292 162.3774 51.0721 4026.848 278.086 17.431 0.0729 0.79 0.324 28.2091 162.3774 51.0721 0.0496 0.0632 1 1 1.0
1974.417 285.789 16.481 0.0459 1.052 0.122 27.1692 162.3515 51.0836 1976.599 282.679 16.334 0.034 0.797 0.061 27.1121 162.3515 51.0836 0.0354 0.0333 1 1 1.0
2059.303 294.083 15.735 0.0434 1.645 0.503 26.4232 162.3525 51.083 2061.452 291.07 16.468 0.0341 0.711 0.17 27.2461 162.3525 51.083 0.0225 0.036 0 1 0.8
5085.087 301.494 13.811 0.0211 1.695 0.323 24.4992 162.3906 51.0659 5087.166 298.449 14.031 0.0247 1.889 0.309 24.8091 162.3906 51.0659 0.0085 0.0093 0 0 0.1
2821.214 308.0 16.988 0.0976 1.685 0.913 27.6762 162.362 51.0786 2823.045 304.88 17.38 0.1221 1.527 0.976 28.1581 162.362 51.0786 0.0481 0.0613 0 0 0.0
2771.141 308.221 14.093 0.083 6.735 1.375 24.7812 162.3614 51.0789 2773.398 305.244 14.571 0.0871 5.797 1.305 25.3491 162.3614 51.0789 0.0085 0.0121 0 0 0.0
4859.446 309.086 14.488 0.0219 1.436 0.26 25.1762 162.3877 51.0672 4861.471 306.048 14.555 0.0284 1.808 0.262 25.3331 162.3877 51.0672 0.0106 0.012 0 0 0.1
284.905 313.436 16.167 0.0542 1.464 0.214 26.8552 162.3299 51.0928 286.892 310.495 16.833 0.0748 1.334 0.504 27.6111 162.3299 51.0928 0.0292 0.0445 1 1 1.0
2028.94 314.351 16.467 0.0781 1.839 0.917 27.1552 162.3519 51.083 2030.717 311.352 16.898 0.0901 1.618 0.721 27.6761 162.3519 51.083 0.0351 0.0462 0 0 0.0
