,RA,DEC,v,v_err,rmag_o,rmag_err,gmag_o,gmag_err,ew_feh,ew_feh_err,gaia_source_id,flag_var,prob_member,sample
99,162.36491667,51.03361111,-32.6543888706873,6.72537183061012,22.61489220052521,0.0282842712474619,22.85546085867231,0.0248211603274303,-999.0,-999.0,-999,0,0.4522756712248567,0
269,162.34158333,51.055,-37.80137435787551,13.686161342089989,22.639511470708985,0.0280028569970994,22.956761199914077,0.0247620677650312,-999.0,-999.0,-999,0,0.4243428834580633,0
278,162.29241667,51.08269444,50.9319345921991,10.371586629535384,22.75209670265577,0.0284260443959408,23.26820368165531,0.0287835022191532,-999.0,-999.0,-999,-999,0.0004734737922408,0
223,162.43491667,51.05069444,-28.434140208101542,2.073182625796583,22.77390410706493,0.0303288641396277,22.99427749892483,0.0261841555143563,-999.0,-999.0,-999,-999,0.5160272939930799,1
420,162.2812025,51.05559678,8.722830775431701,8.248039348518603,22.79313379155138,0.0307065139669093,23.198760592542104,0.0272442654516505,-999.0,-999.0,-999,-999,0.292111083023565,0
106,162.373,51.06261111,82.10940235903225,8.865058752732862,22.828894550622163,0.031781913095344,23.124484072681323,0.0275174490096738,-999.0,-999.0,-999,-999,1.400257450699237e-07,0
129,162.26970833,51.05461111,-23.3959372417327,6.025548832688025,22.836422797900084,0.0306307035505226,23.088046823384687,0.0261197243477032,-999.0,-999.0,-999,1,0.7554452612421367,1
204,162.326,51.0595,-24.757335440548854,9.181281416027105,22.858483716314478,0.0308585482484189,23.113607870107224,0.0272442654516505,-999.0,-999.0,-999,-999,0.7620124487022799,1
137,162.227,51.05788889,-22.40689432463184,9.30433688830134,23.014188052015527,0.0340846006284362,23.308228644035022,0.029732137494637,-999.0,-999.0,-999,-999,0.8360199190779871,1
119,162.496,51.04880556,32.13794410339357,6.147668222046461,23.028047955489985,0.0343279769284471,23.33943561781945,0.0295108454639984,-999.0,-999.0,-999,-999,0.0160027440552696,0
441,162.2165475,51.04088064,29.802967358389303,8.042142553634699,23.23294996283837,0.0419715379751564,23.65928852669728,0.0348992836602701,-999.0,-999.0,-999,-999,0.030596081050978,0
