,system_name,objname,RA,DEC,nmask,nexp,t_exp,masknames,slitwidth,mean_mjd,collate1d_filename,SN,serendip,marz_flag,marz_z,v,v_err,verr_rand,v_chi2,phot_source,phot_type,gmag_o,rmag_o,gmag_err,rmag_err,EBV,MV_o,rproj_arcm,rproj_kpc,ew_naI,ew_naI_err,ew_mgI,ew_mgI_err,ew_cat,ew_cat_err,ew_feh,ew_feh_err,ew_w1,ew_w2,ew_w3,ew_gl,tmpl_teff,tmpl_feh,gaia_source_id,gaia_pmra,gaia_pmra_err,gaia_pmdec,gaia_pmdec_err,gaia_pmra_pmdec_corr,gaia_parallax,gaia_parallax_err,gaia_aen,gaia_aen_sig,gaia_phot_variable_flag,gaia_rv,gaia_rv_err,gaia_grvs_mag,var_pval,var_max_v,var_max_t,var_short_max_t,flag_short_var,flag_coadd,flag_var,flag_gaia,flag_HB,Pmem_cmd,Pmem_EW,Pmem_parallax,Pmem_pm,Pmem_feh,Pmem_v,Pmem,Pmem_novar,delta_ra_cosdec,delta_dec,radius,radius_ell,hl_radius_circ,hl_radius_ell,r_proj,pos_angle,perp_dist_iso,cmd_marker,prob_member,v_marker,pm_marker,pm_err_flag,parallax_marker,feh_marker,sample,prob_nov,prob_nomet
112,b'W1',b'id',162.32336792,51.0454595,3,15,27000.0,b'W1_9+W1_6+W1_2',0.7,59312.32140479999,b'J104917.61+510243.65_DEIMOS_20210408_20210408.fits',8.400235847539948,0,1,0.28421354118327463,-18.417130033405055,5.2824189678182325,3.7434732454530857,-331.5876896545843,b'munozf',b' ',22.068961974899963,21.87639294853989,0.008,0.0109,0.011806135369648882,4.136087056382081,0.8130096910622675,0.008679364008431781,0.24953860821000753,0.22171484988493004,0.292560053028598,0.2862209063196826,1.469411817084372,0.4757063683304223,-999.0,-999.0,-99.0,-99.0,-99.0,-99.0,6235.388787598129,-2.0969048894210434,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-0.15142380847635276,11.218518752511459,126041.87835839996,-999.0,-99,3,0,-99,0,0.9473662402004153,1,1,1.0,1.0,0.9668420444582371,0.9159535125260828,1.0,-0.012718707039612517,-0.0046405000000007135,0.013538823767576548,0.013538823767576532,0.3236372215356944,0.32480390101732465,-0.3231803408951728,183.0448147920621,0.024572498313720006,0.9867783762294389,0.9227778800575147,0.9351419754286922,,,,,1,0.9867783762294389,0.9227778800575147
113,b'W1',b'id',162.37940625,51.05824331,3,15,18000.0,b'W1_9+W1_6+W1_2',0.7,59312.32140479999,b'J104931.06+510329.68_DEIMOS_20210408_20210408.fits',9.126281829040167,0,1,0.08975020784994127,163.72920570131015,9.405980855912253,6.693240431762602,-498.7032087928886,b'munozf',b' ',21.88692286235886,21.71241161043874,0.0078,0.0093,0.011566843737719823,3.962444808955553,1.435463166461762,0.015324426532555446,0.45453918636385277,0.2613148871550276,0.8115039512604415,0.3220638589133661,1.5938113861508036,0.6158107887264077,-999.0,-999.0,2.3111480085572116,1.1289947078090885,0.10000000000000002,1.0,5684.696396340452,-3.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-14.0,281.32201252964705,126041.87835839996,-999.0,-99,2,1,-99,0,0.9603482780714314,1,1,1.0,1.0,0.0,0.0,0.0,0.02250926271232954,0.008143310000001236,0.023937009119954587,0.02393700911995458,0.5721994211941336,0.5740568152172906,0.5714722329515911,2.888905609881033,0.03778374280253329,0.9689732125745912,0.0,0.0,,,,,0,0.9689732125745912,0.0
114,b'W1',b'id',162.44735,51.05963239,3,13,12600.0,b'W1_9+W1_6+203WiSB',0.7,59312.32140479999,b'J104947.36+510334.68_DEIMOS_20210408_20210408.fits',8.621346132432292,0,1,0.4344798567585406,-7.807368727225478,6.165120612893846,4.36812373195309,1.3014190209199494,b'munozf',b' ',21.96428817961855,21.725343084918673,0.0076,0.0095,0.011081107419343126,4.007441091386962,3.9535695343371042,0.04220671375425456,0.3669132810484452,0.21078779962474523,0.3606414644775407,0.330620508018226,2.2585988532086483,0.43454040126733157,-999.0,-999.0,0.10000000007865675,1.2842125929237704,0.7183149915736396,1.0,5647.2365018768005,-1.9018423320821327,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-0.3111537383840517,8.582968355503978,95687.29348639998,-999.0,-99,2,0,-99,0,0.9605505859174926,1,1,1.0,1.0,0.9643308619573788,0.9262885744714809,1.0,0.06522146291235073,0.009532389999996838,0.06591438146216029,0.06591438146216028,1.575642584752836,1.6209754733403727,1.5575760068923217,351.31514497467356,0.035629488592895484,0.972363209521437,0.9242066668674063,0.9504747380582903,,,,,1,0.972363209521437,0.9242066668674063
115,b'W1',b'id',162.33834542,51.045459,2,10,18000.0,b'W1_9+W1_2',0.7,59312.32140479999,b'J104921.20+510243.65_DEIMOS_20210408_20210408.fits',6.239174502291815,0,1,1.069501874773289,-173.4225618650411,6.511690806327647,4.616633882632408,-498.3218658284681,b'munozf',b' ',22.16027426854991,21.955176617167588,0.0088,0.0112,0.011774050429725071,4.220215512203826,0.34158882629119947,0.0036466647358237955,0.44214578974501006,0.27267050923560215,0.2658023796212163,0.26885329177371275,1.9203471828527643,70.0035713374682,-999.0,-999.0,1.2850335872716947,0.7380827127248424,0.1000000109966278,1.0,6193.772408514888,-1.806227591485112,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-14.0,381.4305507993324,126041.87835839996,-999.0,-99,2,1,-99,0,0.9885432637697571,1,1,1.0,1.0,0.0,0.0,0.0,-0.0033032423575023824,-0.004640999999999451,0.005696515695790963,0.00569651569579096,0.13617168993922624,0.19021357687264012,-0.1079474930246089,217.5585534230558,0.0347023580277319,0.9738265746761257,0.0,0.0,,,,,0,0.9738265746761257,0.0
117,b'W1',b'id',162.33952708,51.04298239,3,15,9000.0,b'W1_9+W1_6+W1_2',0.7,59312.32140479999,b'J104921.49+510234.74_DEIMOS_20210408_20210408.fits',6.7086831181763085,0,1,1.1636102078499413,-6.477360299482362,10.909486148307591,0.0,1.567124685185521,b'munozf',b' ',22.22930289136101,22.054993988406896,0.0091,0.0123,0.011759740750118639,4.304918930226897,0.4532614258931126,0.004838836431929756,0.4652201000048325,0.29244295884464605,0.34457869470692243,0.21295987545510944,1.1485461840065643,0.6161808198833504,-999.0,-999.0,0.12966940971070667,0.37737145366199,0.6415053206338678,1.0,6000.0,-3.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-99,1,-99,-99,0,0.9093761512765675,1,1,1.0,1.0,0.9541605452533222,0.8676908443424172,1.0,-0.0025604028985533518,-0.007117610000001662,0.007564128179443025,0.007564128179443036,0.180815813054415,0.2939037239170268,-0.10827521685227562,233.21492634685563,0.06429975525050935,0.9130809195209101,0.8588401133737847,0.9405958387832862,,,,,1,0.9130809195209101,0.8588401133737847
118,b'W1',b'id',162.45071125,51.03017219,3,17,9000.0,b'W1_9+W1_5+W1_2',0.7,59312.32140479999,b'J104948.17+510148.62_DEIMOS_20210408_20210408.fits',4.538561905258703,0,1,0.31985187477328925,-15.699433680723489,5.599162110049841,0.0,1.5908827329143704,b'munozf',b' ',22.60494006290851,22.32469805589065,0.0115,0.0146,0.010846775117409845,4.627609706167203,4.212824486508066,0.044974414722543016,0.23517388361633768,0.4701353104816333,0.2597204659898519,0.22667658169056618,2.2013442581083735,0.7594056985250864,-999.0,-999.0,0.8294514050107991,0.5760191710832728,0.7958736820143019,1.0,6000.0,-1.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-99,1,-99,-99,0,0.9949021331696883,1,1,1.0,1.0,0.9924971020031182,0.9874374839476361,1.0,0.06733448115056687,-0.019927809999998658,0.07022143521185031,0.07022143521185031,1.6786000449047886,2.2390879159550923,1.3999830306812764,326.51374709464505,0.06389444712303827,0.9145249211310662,0.8985623763922185,0.9825455333474067,,,,,1,0.9145249211310662,0.8985623763922185
119,b'W1',b'id',162.31229875,51.04833981,2,10,18000.0,b'W1_9+W1_1',0.7,59312.32140479999,b'J104914.95+510254.02_DEIMOS_20210408_20210408.fits',5.871778809110837,0,1,0.4036719781986148,-0.7469950771444263,5.3259579083450985,3.7552711026201,1.718025739242171,b'munozf',b' ',22.637982204930243,22.418138243900042,0.0127,0.016,0.011842467457939482,4.690609278998814,1.1863298578541224,0.012664779714787532,0.2881237761899762,0.32129671609002264,0.560550189098828,0.21211146162789757,2.1596246146510647,0.9383137774283087,-999.0,-999.0,0.10000000000000002,0.8192658295891185,1.2404248383885785,1.0,5442.975058088751,-1.5570249419112498,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-0.35652984770824536,9.174241271877605,126065.87874239974,-999.0,-99,2,0,-99,0,0.9611666523438521,1,1,1.0,1.0,0.8215449284711781,0.7896415886487117,1.0,-0.019677236780590135,-0.001760189999998829,0.019755807150190173,0.019755807150190173,0.47225037012406795,0.4972418575054319,-0.4621210725519846,168.11168024864892,0.04793727986263975,0.9510996449029471,0.6988771579895249,0.7348096087879838,,,,,1,0.9510996449029471,0.6988771579895249
121,b'W1',b'id',162.32887917,51.08160069,2,8,5400.0,b'W1_9+W1_3',0.7,59312.32140479999,b'J104918.93+510453.76_DEIMOS_20210408_20210408.fits',5.68530500156209,0,1,0.0760117895380206,-28.433110778307224,13.101888779396687,0.0,1.5009612863330966,b'munozf',b' ',22.67933709759526,22.48803560861113,0.0128,0.016,0.011906376864697359,4.747051583957191,1.9711230412047342,0.021042915445678854,0.10211376854012354,0.2976038968940449,0.16069580928730196,0.39900696379189776,1.2723016548239565,99.0,-999.0,-999.0,0.12553636372119445,1.046765291102762,0.10000000000000002,1.0,7000.0,-1.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-99,1,-99,-99,0,0.9092403701603334,1,1,1.0,1.0,0.8078347742195516,0.7345159891397746,1.0,-0.009254111497688105,0.03150069000000144,0.03283187551888917,0.032831875518889164,0.7848257096148807,1.480739154225435,0.00860939277589344,89.37146329681639,0.06305752136593218,0.916913119203625,0.6642174467707529,0.7244060891479575,,,,,1,0.916913119203625,0.6642174467707529
123,b'W1',b'id',162.29551583,51.03728619,3,17,9000.0,b'W1_9+W1_5+W1_1',0.7,59312.32140479999,b'J104910.92+510214.23_DEIMOS_20210408_20210408.fits',4.706477433019121,0,1,0.3050170541264226,-26.376416630751226,12.144141277611773,0.0,-999.0,b'munozf',b' ',22.912489009675667,22.660597118875476,0.0147,0.0199,0.011846321299467779,4.949220310578323,1.9706954236589365,0.0210383503731629,-99.00000000000001,99.0,-99.00000000000001,99.0,5.009158717777377,2.162799667408691,-999.0,-999.0,1.3161002752980455,1.3577941597849472,2.3352642826943857,1.0,6000.0,-1.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-99,1,-99,-99,0,0.9690065333899502,1,1,1.0,1.0,0.8462090011710682,0.8199820507481491,1.0,-0.030227661786285165,-0.012813809999997261,0.03283146758495688,0.03283146758495686,0.7848159582061406,0.7956178904190259,-0.7805558295193401,185.97257655525272,0.03622057403730927,0.9720170960094195,0.7496842423775263,0.7712665193393484,,,,,1,0.9720170960094195,0.7496842423775263
126,b'W1',b'id',162.3417175,51.055025,4,18,14400.0,b'W1_9+W1_5+W1_4+W1_3',0.7,59312.32140479999,b'J104922.01+510318.09_DEIMOS_20210408_20210408.fits',5.186270715486229,0,1,0.6605862535922926,-37.80137435787551,13.686161342089987,9.753256242724355,-498.67171835856595,b'munozf',b' ',22.996470197122584,22.714912793826006,0.0146,0.0196,0.011807614847037679,5.018487403827031,0.3051371796508432,0.0032575216373342637,0.3062590307154994,0.3166383339930193,0.49449170214407284,0.28642735185423823,3.308151547364817,0.9696360534427544,-999.0,-999.0,0.10000000000000002,1.2304804668191358,2.2334268391599146,1.0,6000.0,-1.3462646440260893,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,b' ',-999.0,-999.0,-999.0,-0.062514614670511,6.106725804437147,126018.05181919987,-999.0,-99,2,0,-99,0,0.9900383699768439,1,1,1.0,1.0,0.5815144212887583,0.5757215897707499,1.0,-0.0011834159415320031,0.004925000000000068,0.005065184921666015,0.005065184921666015,0.12108011764938682,0.22814869121229023,0.007367912810915622,86.51130770257427,0.027016983733175296,0.984323268170558,0.44588835431280893,0.4529897531951341,,,,,0,0.984323268170558,0.44588835431280893
