,Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,u*mag,g'mag,r'mag,i'mag,z'mag,gr,r
30,0.00012351,-2.1,10.1,0.7080879211,2.3817216462,0.708,-0.061,3.7925,4.471,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-7.51e-14,0.0,0.8531,0.1468,1.478e-05,4.019e-06,3.662e-05,-1.0,0.0001138,4.922,5.834,5.227,4.937,4.863,4.854,0.29000000000000004,22.867121911934877
31,0.00012351,-2.1,10.1,0.7163518667,2.3854975701,0.716,-0.009,3.7965,4.44,1,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-8.73e-14,0.0,0.857,0.1429,1.448e-05,3.947e-06,3.6e-05,-1.0,6.673e-05,4.792,5.688,5.086,4.811,4.743,4.738,0.27500000000000036,22.741121911934876
32,0.00012351,-2.1,10.1,0.7234479189,2.3886608237,0.723,0.038,3.7999,4.41,1,0.0,0.535,0.0,0.0,0.0,0.0,0.0,-1,-1e-13,0.0,0.86,0.1399,1.426e-05,3.896e-06,3.556e-05,-1.0,5.427e-05,4.674,5.557,4.959,4.696,4.633,4.631,0.2629999999999999,22.626121911934874
33,0.00012351,-2.1,10.1,0.7303209901,2.3916573801,0.73,0.087,3.8031,4.378,1,0.0,0.533,0.0,0.0,0.0,0.0,0.0,-1,-7.37e-14,0.0,0.8626,0.1373,1.407e-05,3.854e-06,3.52e-05,-1.0,0.0001204,4.551,5.425,4.827,4.575,4.518,4.519,0.2519999999999998,22.505121911934875
34,0.00012351,-2.1,10.1,0.7371934056,2.3945894932,0.737,0.14,3.8061,4.341,1,0.0,0.531,0.0,0.0,0.0,0.0,0.0,-1,-1.59e-17,0.0,0.865,0.1349,1.391e-05,3.818e-06,3.489e-05,-1.0,0.0001198,4.419,5.283,4.686,4.445,4.392,4.397,0.24099999999999966,22.375121911934876
35,0.00012351,-2.1,10.1,0.7451327443,2.3978994943,0.744,0.208,3.8093,4.291,1,0.0,0.53,0.0,0.0,0.0,0.0,0.0,-1,-4.04e-15,0.0,0.8675,0.1324,1.374e-05,3.781e-06,3.458e-05,-1.0,8.427e-05,4.251,5.106,4.508,4.279,4.231,4.239,0.2290000000000001,22.209121911934876
36,0.00012351,-2.1,10.1,0.75,2.3998889087,0.749,0.252,3.811,4.257,1,0.0,0.529,0.0,0.0,0.0,0.0,0.0,-1,-1.91e-13,0.0,0.8691,0.1309,1.364e-05,3.759e-06,3.439e-05,-1.0,4.11e-05,4.14,4.991,4.39,4.168,4.123,4.133,0.22199999999999953,22.098121911934875
37,0.00012351,-2.1,10.1,0.7544825077,2.4016949771,0.754,0.296,3.8127,4.222,1,0.0,0.529,0.0,0.0,0.0,0.0,0.0,-1,-2.2e-13,0.0,0.8692,0.1307,1.367e-05,3.766e-06,3.447e-05,-1.0,9.798e-05,4.029,4.876,4.274,4.058,4.016,4.028,0.2160000000000002,21.988121911934876
38,0.00012351,-2.1,10.1,0.7595060468,2.4036899297,0.759,0.348,3.8142,4.179,1,0.0,0.528,0.0,0.0,0.0,0.0,0.0,-1,-2.6e-13,0.0,0.8682,0.1317,1.378e-05,3.799e-06,3.478e-05,-1.0,0.0001,3.899,4.743,4.137,3.928,3.888,3.902,0.20899999999999963,21.858121911934877
39,0.00012351,-2.1,10.1,0.7636129856,2.4052984743,0.763,0.395,3.8148,4.137,1,0.0,0.528,0.0,0.0,0.0,0.0,0.0,-1,-3.03e-13,0.0,0.867,0.1329,1.391e-05,3.835e-06,3.51e-05,-1.0,0.0001,3.784,4.626,4.018,3.811,3.773,3.787,0.20699999999999985,21.741121911934876
